uptime,step,dPosLHX,dPosLHY,dPosLHZ,dRotLHX,dRotLHY,dRotLHZ,dPosHeadX,dPosHeadY,dPosHeadZ,dRotHeadX,dRotHeadY,dRotHeadZ,dPosRHX,dPosRHY,dPosRHZ,dRotRHX,dRotRHY,dRotRHZ,cPosLHX,cPosLHY,cPosLHZ,cRotLHX,cRotLHY,cRotLHZ,cPosHeadX,cPosHeadY,cPosHeadZ,cRotHeadX,cRotHeadY,cRotHeadZ,cPosRHX,cPosRHY,cPosRHZ,cRotRHX,cRotRHY,cRotRHZ
95.99847,,0.02405,0.00052,0.00019,-0.00284,0.00308,-0.00140,0.03839,0.00502,0.00537,-0.00077,0.00149,0.00026,0.03077,0.02053,0.02304,-0.00368,-0.00262,0.00435,0.28423,1.19980,0.32518,-0.09036,-0.99360,-0.01441,0.14638,1.56922,0.47769,-0.01896,0.99777,-0.04768,0.00589,1.13881,0.31793,-0.03167,0.99617,0.02873
96.20659,,0.00783,-0.00726,-0.00275,-0.00017,0.00084,0.00019,0.01904,-0.00014,0.00365,-0.00063,0.00042,0.00028,0.00585,0.01798,-0.00138,-0.00121,0.00052,0.00004,0.29206,1.19254,0.32242,-0.10261,-0.99245,-0.00711,0.16542,1.56908,0.48134,-0.00431,0.99828,-0.04605,0.01173,1.15679,0.31655,-0.02267,0.99521,0.05095
96.41505,,-0.00503,-0.00525,-0.00384,0.00068,0.00023,-0.00082,-0.00531,-0.00052,-0.00173,0.00056,0.00041,0.00010,-0.00575,0.00969,0.00199,-0.00032,0.00018,0.00007,0.28703,1.18730,0.31859,-0.09749,-0.99343,0.00042,0.16011,1.56857,0.47961,0.00011,0.99856,-0.04454,0.00598,1.16648,0.31854,-0.02491,0.99398,0.06315
96.62334,,-0.01815,-0.00374,-0.00041,-0.00080,-0.00129,-0.00103,-0.02538,-0.00608,-0.00214,-0.00020,-0.00113,-0.00091,-0.01741,-0.00538,-0.00307,-0.00026,-0.00069,-0.00018,0.26888,1.18356,0.31818,-0.08944,-0.99395,0.00085,0.13473,1.56249,0.47747,-0.00813,0.99838,-0.04189,-0.01143,1.16110,0.31547,-0.03155,0.99412,0.06304
96.82384,,-0.02271,0.00387,0.00280,-0.00858,0.00432,0.01164,-0.04375,0.00223,-0.00168,0.00151,0.00104,-0.00252,-0.03000,-0.02683,-0.02023,0.00049,-0.00452,-0.00548,0.24617,1.18743,0.32097,-0.11411,-0.98643,0.00280,0.09098,1.56472,0.47578,-0.00843,0.99788,-0.03654,-0.04143,1.13427,0.29524,-0.03839,0.99730,0.03687
97.03661,,-0.04122,0.01705,-0.00332,-0.00370,0.00356,-0.00139,-0.04692,0.00438,-0.00210,-0.00032,-0.00065,-0.00102,-0.03207,-0.03018,-0.00160,0.00249,-0.00215,-0.00207,0.20495,1.20448,0.31766,-0.07413,-0.99160,-0.02410,0.04406,1.56910,0.47368,-0.01359,0.99695,-0.03706,-0.07350,1.10409,0.29364,-0.02557,0.99880,0.00308
97.24696,,-0.01981,0.00688,0.00010,-0.00070,0.00001,-0.00078,-0.03181,0.00202,-0.00091,-0.00052,-0.00083,-0.00006,-0.02960,-0.01687,-0.00690,0.00190,0.00142,-0.00172,0.18515,1.21136,0.31775,-0.06917,-0.99086,-0.02860,0.01225,1.57113,0.47278,-0.01875,0.99647,-0.03325,-0.10310,1.08722,0.28674,-0.03234,0.99790,-0.01579
97.45561,,-0.01212,0.00499,0.00156,0.00001,-0.00024,-0.00050,-0.01312,0.00015,-0.00259,-0.00060,-0.00067,-0.00015,-0.00460,-0.00956,-0.00134,0.00053,-0.00021,-0.00021,0.17303,1.21635,0.31931,-0.06380,-0.99104,-0.03286,-0.00087,1.57128,0.47018,-0.02362,0.99579,-0.03254,-0.10770,1.07766,0.28540,-0.02694,0.99809,-0.02678
97.66399,,-0.00326,0.00013,0.00071,0.00001,0.00061,-0.00005,0.00194,0.00023,-0.00176,-0.00014,0.00000,0.00002,0.00067,-0.00145,0.00065,0.00009,-0.00005,-0.00006,0.16976,1.21648,0.32002,-0.06743,-0.99090,-0.03435,0.00107,1.57150,0.46842,-0.02255,0.99555,-0.03615,-0.10703,1.07621,0.28605,-0.02941,0.99802,-0.03031
97.87260,,0.00910,-0.00068,-0.00254,0.00017,0.00121,-0.00069,0.01698,-0.00085,0.00172,-0.00014,0.00039,-0.00044,0.00862,0.00301,0.00203,-0.00072,0.00134,-0.00117,0.17886,1.21580,0.31748,-0.06589,-0.99258,-0.03186,0.01805,1.57065,0.47014,-0.02685,0.99614,-0.03187,-0.09841,1.07922,0.28808,-0.03288,0.99732,-0.02558
98.08072,,0.03750,-0.00922,0.00396,0.00231,0.00322,0.00194,0.03209,-0.00004,0.00882,0.00454,0.00299,-0.00238,0.02862,0.01151,0.01324,-0.00148,0.00300,0.00235,0.21636,1.20658,0.32144,-0.06317,-0.99478,-0.02429,0.05014,1.57061,0.47896,-0.04920,0.99622,-0.04320,-0.06979,1.09073,0.30131,-0.03895,0.99563,0.00412
98.28880,left,0.03677,-0.01793,0.00040,0.00133,-0.00586,0.00059,0.03137,-0.00186,0.00800,0.00070,0.00139,0.00074,0.02721,0.05481,0.03266,-0.01041,0.00203,0.00063,0.25313,1.18865,0.32184,-0.04668,-0.99465,0.01677,0.08150,1.56875,0.48697,-0.03950,0.99791,-0.03604,-0.04258,1.14553,0.33397,-0.06808,0.99136,0.05409
98.49746,,-0.00991,0.00689,0.00398,0.00052,-0.00143,0.00027,0.00516,0.00431,0.00943,-0.00074,-0.00079,0.00061,-0.00343,0.06644,0.02235,-0.00021,0.00157,-0.00802,0.24322,1.19553,0.32581,-0.06447,-0.99580,-0.00022,0.08666,1.57306,0.49640,-0.03376,0.99841,-0.03290,-0.04601,1.21197,0.35632,-0.09119,0.98424,0.12070
98.70582,,-0.01929,-0.00714,0.00562,-0.00065,-0.00147,-0.00244,-0.02052,-0.00414,0.00535,-0.00053,-0.00150,0.00026,-0.01609,0.01756,-0.00650,0.00079,-0.00220,-0.00093,0.22393,1.18840,0.33144,-0.06398,-0.99463,0.00261,0.06615,1.56892,0.50175,-0.01840,0.99824,-0.02144,-0.06211,1.22953,0.34982,-0.08803,0.98197,0.15634
98.91406,,-0.03055,0.00332,0.01587,-0.01127,0.00817,0.00385,-0.03377,-0.00379,-0.00240,0.00199,-0.00267,0.00000,-0.02845,-0.05305,-0.02772,0.00254,-0.00392,0.01123,0.19338,1.19172,0.34731,-0.13042,-0.98405,-0.02100,0.03238,1.56513,0.49935,-0.01593,0.99578,-0.03486,-0.09056,1.17648,0.32211,-0.05007,0.99241,0.11110
