uptime,step,dPosLHX,dPosLHY,dPosLHZ,dRotLHX,dRotLHY,dRotLHZ,dPosHeadX,dPosHeadY,dPosHeadZ,dRotHeadX,dRotHeadY,dRotHeadZ,dPosRHX,dPosRHY,dPosRHZ,dRotRHX,dRotRHY,dRotRHZ,cPosLHX,cPosLHY,cPosLHZ,cRotLHX,cRotLHY,cRotLHZ,cPosHeadX,cPosHeadY,cPosHeadZ,cRotHeadX,cRotHeadY,cRotHeadZ,cPosRHX,cPosRHY,cPosRHZ,cRotRHX,cRotRHY,cRotRHZ
1.00006,0,0.00273,0.00057,-0.00190,-0.00347,-0.00073,-0.00090,0.00332,-0.00045,0.00206,-0.00141,0.00131,-0.00042,0.00249,-0.00014,0.00024,0.00185,0.00058,-0.00530,-0.04399,0.77161,0.01149,0.04770,-0.82809,0.46194,-0.37629,1.57601,0.02104,0.03818,-0.99586,0.02791,-0.56774,0.73767,-0.05066,0.22535,0.87504,-0.42794
1.05548,0,0.00225,0.00192,-0.00292,-0.01035,0.00452,0.00539,0.00347,0.00114,0.00182,-0.00044,0.00098,-0.00037,0.00315,-0.00002,-0.00036,-0.00415,0.00226,-0.00080,-0.03503,0.77742,0.00119,0.04489,-0.84721,0.43292,-0.36259,1.57612,0.02890,0.04124,-0.99613,0.02407,-0.55519,0.73683,-0.05004,0.22233,0.87770,-0.42386
1.11144,1,0.00287,-0.00402,0.00468,0.01993,-0.01143,-0.02767,0.00397,0.00031,0.00166,-0.00258,0.00017,0.00060,-0.00051,0.00075,0.00139,0.01241,0.01233,-0.01200,-0.02324,0.76714,0.00782,0.07642,-0.81787,0.48567,-0.34753,1.58249,0.03529,0.04187,-0.99629,0.02503,-0.54922,0.73704,-0.04866,0.20596,0.87437,-0.43514
1.15288,0,0.00265,0.00195,-0.00053,-0.00521,0.00232,0.00610,0.00380,0.00063,0.00175,-0.00028,0.00008,0.00063,0.00238,0.00241,0.00019,0.00245,0.00267,-0.00932,-0.01569,0.77024,0.00940,0.07539,-0.82036,0.48284,-0.33608,1.58387,0.04095,0.03989,-0.99638,0.02260,-0.54515,0.74276,-0.04620,0.18842,0.87067,-0.44476
1.20804,0,-0.00028,0.00071,-0.00228,-0.00993,0.01393,0.00241,0.00355,0.00049,0.00137,-0.00098,0.00081,-0.00072,0.00242,0.00313,-0.00136,-0.00632,0.00433,-0.00594,-0.00951,0.77402,0.00312,0.06465,-0.83925,0.45949,-0.32164,1.58612,0.04694,0.04081,-0.99660,0.01834,-0.53338,0.75674,-0.05260,0.16206,0.88647,-0.41821
1.26315,0,0.00171,-0.00371,0.00254,0.01376,0.00059,-0.00621,0.00343,-0.00043,0.00135,-0.00123,0.00197,-0.00092,0.00326,0.00288,-0.00068,-0.00683,-0.00360,-0.00043,-0.00682,0.76757,0.00556,0.08056,-0.84162,0.47024,-0.30804,1.58629,0.05236,0.04499,-0.99696,0.01419,-0.52079,0.76577,-0.05461,0.16790,0.89231,-0.40671
1.30470,0,0.00170,-0.00099,0.00030,0.00204,0.00381,0.01373,0.00300,-0.00118,0.00137,-0.00163,0.00153,0.00009,0.00107,0.00237,-0.00095,-0.00463,0.00147,-0.00044,-0.00047,0.76085,0.00981,0.06372,-0.83044,0.48597,-0.29837,1.58284,0.05665,0.04633,-0.99729,0.01032,-0.51436,0.77363,-0.05694,0.16926,0.89937,-0.39189
1.36068,0,0.00205,-0.00257,0.00110,0.00138,-0.00184,-0.00380,0.00260,0.00032,0.00056,-0.00137,0.00092,0.00047,-0.00009,0.00144,0.00004,0.00156,0.00406,-0.00856,0.00487,0.75454,0.00830,0.06315,-0.83991,0.47575,-0.28718,1.58476,0.05956,0.04505,-0.99764,0.00687,-0.51578,0.78005,-0.05889,0.15979,0.90081,-0.38400
1.40200,0,0.00154,-0.00211,0.00276,0.00354,-0.00028,-0.00427,0.00182,0.00001,0.00062,0.00000,-0.00038,0.00187,0.00017,0.00246,0.00104,-0.00225,0.00193,-0.00350,0.01020,0.74609,0.01616,0.08170,-0.83014,0.49187,-0.28045,1.58417,0.06172,0.03935,-0.99796,0.00459,-0.51531,0.78566,-0.05539,0.14334,0.90273,-0.38298
1.45738,0,0.00181,-0.00091,0.00245,0.00583,-0.00096,0.00677,0.00114,0.00051,0.00004,0.00036,0.00024,-0.00027,0.00094,0.00112,0.00068,-0.00218,-0.00061,-0.00309,0.01727,0.74187,0.02528,0.06952,-0.82395,0.49926,-0.27386,1.58511,0.06332,0.03703,-0.99807,0.00743,-0.51385,0.79321,-0.05287,0.13834,0.90680,-0.37146
