uptime,step,dPosLHX,dPosLHY,dPosLHZ,dRotLHX,dRotLHY,dRotLHZ,dPosHeadX,dPosHeadY,dPosHeadZ,dRotHeadX,dRotHeadY,dRotHeadZ,dPosRHX,dPosRHY,dPosRHZ,dRotRHX,dRotRHY,dRotRHZ,cPosLHX,cPosLHY,cPosLHZ,cRotLHX,cRotLHY,cRotLHZ,cPosHeadX,cPosHeadY,cPosHeadZ,cRotHeadX,cRotHeadY,cRotHeadZ,cPosRHX,cPosRHY,cPosRHZ,cRotRHX,cRotRHY,cRotRHZ
1.00352,0,0.00290,-0.00245,-0.00056,0.00347,-0.00518,0.00150,0.00020,-0.00003,0.00002,-0.00042,-0.00135,0.00010,0.00005,0.00006,-0.00034,-0.00062,-0.00048,0.00034,0.41577,1.14245,0.53658,-0.03619,-0.98986,0.07458,0.32456,1.56904,0.76267,0.00844,0.99401,0.04478,0.06201,0.71818,0.77254,0.21503,0.80739,-0.50751
1.06496,0,0.00192,-0.00235,-0.00011,0.00079,-0.00328,-0.00691,0.00038,0.00000,0.00006,0.00004,-0.00144,-0.00055,0.00007,0.00001,-0.00043,-0.00038,-0.00045,0.00131,0.42459,1.13291,0.53578,-0.04563,-0.98896,0.09019,0.32567,1.56921,0.76272,0.00765,0.99455,0.04572,0.06246,0.71828,0.77077,0.21652,0.80894,-0.50567
1.10794,0,0.00488,-0.00579,-0.00076,0.00706,-0.00861,-0.00270,0.00055,0.00007,0.00005,-0.00016,-0.00367,-0.00018,0.00052,0.00009,-0.00093,-0.00185,-0.00120,0.00154,0.42934,1.12683,0.53519,-0.03394,-0.98991,0.09505,0.32631,1.56927,0.76286,0.00767,0.99493,0.04563,0.06342,0.71832,0.76900,0.21875,0.81014,-0.50454
1.15792,0,0.00266,-0.00230,-0.00013,0.00268,-0.00372,0.00373,0.00025,0.00012,-0.00001,0.00006,-0.00194,-0.00042,0.00021,0.00003,-0.00033,-0.00004,-0.00051,-0.00010,0.44041,1.11613,0.53404,-0.04199,-0.98959,0.11160,0.32737,1.56952,0.76284,0.00707,0.99550,0.04680,0.06428,0.71872,0.76695,0.22061,0.81157,-0.50274
1.21055,0,0.00250,-0.00282,0.00032,0.00156,-0.00545,-0.00349,0.00018,-0.00005,0.00012,-0.00015,-0.00111,-0.00043,0.00077,0.00040,-0.00165,-0.00334,-0.00130,0.00301,0.44974,1.10541,0.53432,-0.03549,-0.98969,0.12213,0.32817,1.56957,0.76312,0.00629,0.99598,0.04742,0.06582,0.71935,0.76382,0.22432,0.81369,-0.50017
1.25872,0,0.00273,-0.00239,0.00040,0.00397,-0.00428,0.00599,0.00025,0.00010,-0.00001,-0.00067,-0.00205,-0.00026,0.00014,0.00027,-0.00069,-0.00107,-0.00050,-0.00004,0.46091,1.09543,0.53533,-0.04651,-0.98864,0.13554,0.32910,1.56982,0.76321,0.00633,0.99644,0.04855,0.06647,0.72035,0.76124,0.22470,0.81608,-0.49684
1.31183,0,0.00117,-0.00257,0.00106,-0.00022,-0.00095,-0.00704,0.00018,-0.00003,0.00001,0.00045,-0.00163,-0.00017,0.00051,0.00060,-0.00184,-0.00343,-0.00067,0.00484,0.46649,1.08784,0.53748,-0.04464,-0.98806,0.14215,0.32975,1.56998,0.76315,0.00619,0.99677,0.04874,0.06748,0.72176,0.75740,0.22902,0.81873,-0.49250
1.35171,0,0.00266,-0.00292,0.00076,0.00367,-0.00538,0.00274,0.00015,0.00001,0.00000,0.00039,-0.00164,-0.00021,0.00002,0.00000,-0.00009,0.00023,-0.00029,-0.00081,0.47573,1.07613,0.54027,-0.03982,-0.98677,0.15565,0.33046,1.56991,0.76332,0.00615,0.99721,0.04802,0.06760,0.72209,0.75619,0.23076,0.81892,-0.49195
1.40334,0,0.00184,-0.00369,0.00129,0.00250,-0.00262,-0.00245,0.00003,-0.00005,0.00002,-0.00011,-0.00167,-0.00023,0.00021,0.00031,-0.00110,-0.00236,-0.00095,0.00207,0.48222,1.06636,0.54381,-0.04209,-0.98536,0.16478,0.33067,1.56987,0.76332,0.00591,0.99749,0.04853,0.06809,0.72269,0.75385,0.23150,0.82088,-0.48980
1.46273,0,0.00356,-0.00532,0.00128,0.00787,-0.00778,0.00546,0.00012,-0.00007,0.00006,0.00042,-0.00150,0.00017,-0.00003,0.00014,-0.00047,-0.00070,-0.00037,-0.00006,0.49294,1.04759,0.54857,-0.03636,-0.98198,0.18521,0.33086,1.56980,0.76341,0.00545,0.99781,0.04788,0.06819,0.72299,0.75178,0.23419,0.82160,-0.48876
