uptime,step,dPosLHX,dPosLHY,dPosLHZ,dRotLHX,dRotLHY,dRotLHZ,dPosHeadX,dPosHeadY,dPosHeadZ,dRotHeadX,dRotHeadY,dRotHeadZ,dPosRHX,dPosRHY,dPosRHZ,dRotRHX,dRotRHY,dRotRHZ,cPosLHX,cPosLHY,cPosLHZ,cRotLHX,cRotLHY,cRotLHZ,cPosHeadX,cPosHeadY,cPosHeadZ,cRotHeadX,cRotHeadY,cRotHeadZ,cPosRHX,cPosRHY,cPosRHZ,cRotRHX,cRotRHY,cRotRHZ
80.56037,0,0.00051,0.00079,0.00001,0.00000,-0.00078,0.00420,0.00074,-0.00042,0.00012,0.00109,0.00214,0.00026,-0.00094,-0.00027,0.00043,0.00357,0.00131,-0.00460,0.13772,0.74288,0.34689,0.02101,0.75928,-0.46440,-0.17607,1.58504,0.28621,-0.03624,0.95671,0.03915,-0.39143,0.76737,0.05372,-0.24923,-0.90214,0.35158
80.60222,0,0.00038,-0.00069,-0.00066,-0.00188,0.00203,-0.00311,0.00108,0.00011,0.00007,-0.00026,0.00327,0.00028,0.00023,-0.00248,0.00261,0.00305,-0.00028,0.00318,0.14179,0.74324,0.34635,0.02995,0.75958,-0.45657,-0.17330,1.58481,0.28625,-0.03686,0.95909,0.03816,-0.39170,0.76157,0.05957,-0.25118,-0.89833,0.35998
80.65781,0,0.00084,-0.00245,0.00009,0.00276,0.00183,-0.00553,0.00132,-0.00050,0.00017,-0.00070,0.00438,-0.00014,0.00046,-0.00148,0.00277,0.00379,0.00352,0.00082,0.14391,0.73749,0.34435,0.01945,0.76669,-0.46197,-0.16850,1.58388,0.28659,-0.03690,0.96321,0.04007,-0.39106,0.75352,0.07061,-0.26745,-0.88958,0.37015
80.71323,0,0.00177,-0.00304,0.00016,0.00295,0.00018,-0.00414,0.00184,-0.00089,0.00014,-0.00062,0.00522,-0.00064,0.00315,0.00118,0.00220,-0.00197,0.00018,-0.01024,0.15056,0.72599,0.34658,0.01706,0.75787,-0.47926,-0.16206,1.58128,0.28728,-0.03950,0.96787,0.04147,-0.38355,0.75370,0.08019,-0.23921,-0.89531,0.37573
80.75482,0,0.00145,-0.00369,0.00013,0.00459,0.00054,-0.00975,0.00208,-0.00151,0.00059,-0.00081,0.00567,-0.00148,0.00258,0.00048,0.00204,-0.00102,0.00247,-0.00368,0.15504,0.71589,0.34638,0.00471,0.75504,-0.49631,-0.15619,1.57753,0.28849,-0.04355,0.97151,0.04159,-0.37591,0.75553,0.08624,-0.22765,-0.89974,0.37194
80.81077,1,0.00265,-0.00546,0.00224,0.01339,-0.00086,-0.00503,0.00270,0.00198,0.00064,0.00228,0.00778,-0.00270,0.00325,0.00110,0.00175,-0.00379,0.00043,-0.00568,0.16392,0.69708,0.35013,-0.01262,0.73633,-0.53744,-0.14654,1.57512,0.29144,-0.05328,0.97703,0.03647,-0.36231,0.75873,0.09344,-0.21816,-0.90823,0.35642
80.85211,0,0.00122,-0.00325,0.00022,0.00062,0.00558,-0.01872,0.00272,0.00155,0.00045,-0.00003,0.00676,-0.00023,0.00053,0.00078,0.00326,0.00532,0.00940,-0.00570,0.16974,0.68647,0.35067,-0.02813,0.73759,-0.55433,-0.13871,1.57738,0.29359,-0.05886,0.98103,0.03250,-0.35886,0.76093,0.10104,-0.21129,-0.90802,0.35802
80.90736,0,0.00259,0.00107,-0.00126,-0.00944,0.00218,-0.01231,0.00208,0.00109,0.00040,-0.00317,0.00501,0.00092,0.00105,0.00092,0.00511,0.00902,0.00535,-0.01133,0.17636,0.68489,0.34867,-0.08265,0.75389,-0.56234,-0.12929,1.58003,0.29624,-0.05736,0.98494,0.03600,-0.35740,0.76483,0.12080,-0.18344,-0.89970,0.38214
80.96329,0,0.00261,0.00020,-0.00145,0.00147,0.00064,-0.00801,0.00149,-0.00040,0.00009,-0.00256,0.00427,0.00014,0.00458,0.00067,0.00464,-0.00512,-0.00261,0.00848,0.18711,0.68991,0.34129,-0.10399,0.76547,-0.55684,-0.12197,1.58018,0.29761,-0.05790,0.98783,0.04091,-0.34358,0.76843,0.14075,-0.17659,-0.89929,0.38615
81.00519,0,0.00085,0.00033,-0.00314,-0.00629,0.00548,-0.00600,0.00127,0.00010,0.00001,-0.00118,0.00370,0.00093,0.00515,0.00009,0.00457,-0.01026,-0.00776,0.01528,0.19155,0.69108,0.33276,-0.11608,0.77432,-0.55332,-0.11771,1.57974,0.29765,-0.05917,0.98926,0.04577,-0.32814,0.76981,0.15438,-0.20104,-0.90523,0.36818
81.06039,0,0.00079,-0.00033,-0.00195,0.00093,0.00196,-0.00665,0.00012,0.00005,-0.00001,0.00181,0.00221,0.00075,-0.00014,0.00040,0.00509,-0.00624,0.00385,0.00924,0.19566,0.68801,0.32288,-0.12650,0.77870,-0.55509,-0.11587,1.58208,0.29731,-0.05724,0.99084,0.04089,-0.31879,0.77012,0.17425,-0.24590,-0.90692,0.34077
81.10217,0,-0.00013,0.00294,-0.00497,-0.00543,-0.00178,-0.00386,-0.00041,0.00023,0.00005,0.00220,0.00188,0.00021,-0.00491,-0.00269,0.00600,0.01641,0.00642,-0.00825,0.19564,0.69265,0.31236,-0.14304,0.77894,-0.55667,-0.11661,1.58214,0.29740,-0.05693,0.99179,0.03489,-0.33150,0.76569,0.19134,-0.24625,-0.89832,0.35831
81.15772,0,-0.00121,0.00341,-0.00668,-0.00435,0.00042,0.00942,-0.00086,-0.00005,-0.00007,-0.00004,0.00041,0.00016,-0.00301,-0.00319,0.00527,0.00838,-0.00016,-0.00191,0.19429,0.70681,0.28705,-0.12909,0.79413,-0.52961,-0.11738,1.58237,0.29729,-0.05549,0.99231,0.03362,-0.34682,0.75366,0.21370,-0.22610,-0.88503,0.39676
81.21271,0,-0.00490,0.00851,-0.01177,-0.02048,0.00541,0.00732,-0.00156,-0.00023,-0.00038,-0.00046,-0.00029,0.00046,-0.00361,-0.00523,0.00461,0.00994,-0.00232,0.00619,0.17822,0.73148,0.24720,-0.10017,0.82937,-0.48219,-0.12408,1.58117,0.29629,-0.05551,0.99237,0.03624,-0.36012,0.73495,0.23314,-0.23176,-0.86849,0.42958
81.25421,0,-0.00568,0.00758,-0.00923,-0.01311,0.00435,0.00128,-0.00208,-0.00045,-0.00040,-0.00043,-0.00165,0.00070,-0.00541,-0.00397,0.00285,0.01101,0.00389,-0.00229,0.16292,0.75623,0.21715,-0.09516,0.85668,-0.43818,-0.12910,1.58003,0.29540,-0.05325,0.99223,0.03814,-0.37400,0.72274,0.24415,-0.23483,-0.85463,0.45266
